"","symbol","date","CARD.x","DISC.x","HACK.x","INSD.x","PHYS.x","PORT.x","STAT.x","UNKN.x","IS_EFFECTIVE","MATERIAL_WEAKNESS","SIG_DEFICIENCY","IC_OP_TYPE","AUDITOR_FKEY","AUDITOR_AGREES","COMBINED_IC_OP","IC_IS_EFFECTIVE","AUDIT_FEES","NON_AUDIT_FEES","BENEFITS_FEES","IT_FEES","TAX_FEES","AUDIT_RELATED_FEES","OTHER_FEES","CARD.y","DISC.y","HACK.y","INSD.y","PHYS.y","PORT.y","STAT.y","UNKN.y","BRCH"
"117","AIQ",2010,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,"1",778000,155000,0,0,10000,15000,130000,0,0,0,0,0,0,0,0,0
"118","ALSK",2014,0,0,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"119","ALSK",2014,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,"0",810827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","ALSK",2014,0,0,1,0,0,0,0,0,0,1,0,1,4,1,0,"0",810827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","ALSK",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"122","ALSK",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"123","AMD",2012,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"124","AMD",2012,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,"1",3485230,171701,0,0,45638,126063,0,0,0,0,0,0,0,0,0,0
"125","AMD",2012,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"126","AMD",2012,0,0,0,1,0,0,0,0,1,0,0,1,2,NA,0,"1",3485230,171701,0,0,45638,126063,0,0,0,0,0,0,0,0,0,0
