ticker,date,card,disc,hack,insd,phys,port,stat,unkn,effective_303,mat_weak_303,sig_def_303,auto_1,auditor_agrees_303,effective_404,audit_fee,non_audit_fee,tax_fees
GS,2013,0,1,0,0,0,0,0,0,1,0,0,1,0,1,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,1,0,1,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,1,0,1,59800000,9800000,2200000
GS,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,59800000,9800000,2200000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59800000,9800000,2200000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,1,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,1,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,1,1,1,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,1,1,1,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,1,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,1,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,1,1,1,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,0,0,0,62000000,10200000,1700000
GS,2014,0,1,0,0,0,0,0,0,1,0,0,1,1,1,62000000,10200000,1700000
H,2016,0,0,1,0,0,0,0,0,1,0,0,0,0,0,62000000,10200000,1700000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,1,1,1,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,1,1,1,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,1,1,1,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6720000,1481000,212000
HD,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HD,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
HD,2010,0,0,0,1,0,0,0,0,1,0,0,1,0,1,4809000,464000,264000
HD,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4809000,464000,264000
HD,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4809000,464000,264000
HD,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4809000,464000,264000
HD,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4809000,464000,264000
HD,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4925000,363000,188000
HD,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4925000,363000,188000
HD,2012,0,0,0,1,0,0,0,0,1,0,0,1,0,1,4925000,363000,188000
HD,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4925000,363000,188000
HD,2014,0,0,0,1,0,0,0,0,1,0,0,1,1,1,5530000,1068000,653000
HD,2014,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5530000,1068000,653000
HD,2014,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5530000,1068000,653000
HD,2014,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
HD,2014,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5530000,1068000,653000
HD,2014,0,0,1,0,0,0,0,0,1,0,0,1,1,1,5530000,1068000,653000
HD,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5530000,1068000,653000
HD,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5530000,1068000,653000
HD,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
HD,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5530000,1068000,653000
HIG,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,1,18298212,1407900,123193
HIG,2007,0,0,0,0,0,1,0,0,1,0,0,1,0,1,18298212,1407900,123193
HIG,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18298212,1407900,123193
HIG,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18298212,1407900,123193
HIG,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HNT,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HNT,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HNT,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HNT,2008,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8600000,788000,28000
HNT,2008,0,0,0,0,0,1,0,0,1,0,0,1,0,1,8600000,788000,28000
HNT,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8600000,788000,28000
HNT,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8600000,788000,28000
HNT,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
HNT,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,1,8600000,788000,28000
HNT,2008,0,1,0,0,0,0,0,0,1,0,0,1,0,1,8600000,788000,28000
HNT,2009,0,0,0,0,0,1,0,0,1,0,1,0,0,0,8600000,788000,28000
HNT,2009,0,0,0,0,0,1,0,0,1,0,1,1,0,1,9855000,2392000,177000
HNT,2009,0,0,0,0,0,1,0,0,1,0,1,0,0,0,9855000,2392000,177000
HNT,2009,0,0,0,0,0,1,0,0,1,0,1,0,0,1,9855000,2392000,177000
HNT,2009,0,0,0,0,0,1,0,0,1,0,1,0,0,0,9855000,2392000,177000
HNT,2010,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9855000,2392000,177000
HNT,2010,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8163000,1009000,198000
HNT,2010,0,0,0,0,0,0,0,1,1,0,0,1,0,1,8163000,1009000,198000
HNT,2010,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8163000,1009000,198000
HNT,2010,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8163000,1009000,198000
HNT,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,1,10039000,4068000,1191000
HNT,2011,0,0,0,0,0,1,0,0,1,0,0,1,0,1,10039000,4068000,1191000
HNT,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10039000,4068000,1191000
HNT,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10039000,4068000,1191000
HNT,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HNT,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,8036000,2216000,1224000
HNT,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8036000,2216000,1224000
HNT,2013,0,1,0,0,0,0,0,0,1,0,0,1,0,1,8036000,2216000,1224000
HNT,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8036000,2216000,1224000
HNT,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8036000,2216000,1224000
HON,2006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13100000,876000,370000
HON,2006,0,0,0,0,0,0,0,1,1,0,0,0,0,1,27600000,8100000,6100000
HON,2006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,27600000,8100000,6100000
HON,2006,0,0,0,0,0,0,0,1,1,0,0,1,1,1,27600000,8100000,6100000
HON,2006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,27600000,8100000,6100000
HON,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27600000,8100000,6100000
HON,2007,0,0,0,0,0,1,0,0,1,0,0,1,0,1,27200000,7300000,5700000
HON,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27200000,7300000,5700000
HON,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,1,27200000,7300000,5700000
HON,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27200000,7300000,5700000
HRB,2005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,27200000,7300000,5700000
HRB,2005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13100000,876000,370000
HRB,2005,0,1,0,0,0,0,0,0,0,1,0,1,1,0,3847992,563858,252186
HRB,2005,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3847992,563858,252186
HRB,2005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3847992,563858,252186
HRB,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4725433,612163,252186
HRB,2006,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4725433,612163,252186
HRB,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4725433,612163,0
HRB,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4725433,612163,0
HRB,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3799865,369377,249572
HRB,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3799865,369377,249572
HRB,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3799865,369377,249572
HRB,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
HRB,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
HRB,2012,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3023055,477686,369061
HRB,2012,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3023055,477686,369061
HSIC,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3023055,477686,369061
HSIC,2007,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3023055,477686,369061
HSIC,2007,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4139410,1385180,1340610
HSIC,2007,0,0,0,0,0,1,0,0,1,0,1,1,0,1,4139410,1385180,1340610
HSIC,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4139410,1385180,1340610
HTZ,2006,0,0,0,1,0,0,0,0,1,0,0,1,1,1,9427000,1415000,774000
HTZ,2006,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9427000,1415000,774000
HUM,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9427000,1415000,774000
HUM,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4853842,194268,35046
HUM,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4853842,194268,35046
HUM,2006,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4853842,194268,35046
HUM,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4853842,194268,35046
HUM,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4853842,194268,35046
HUM,2010,0,0,0,1,0,0,0,0,1,0,1,0,0,1,5334200,1099140,93140
HUM,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5334200,1099140,93140
HUM,2010,0,0,0,1,0,0,0,0,1,0,1,1,0,1,5334200,1099140,93140
HUM,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5334200,1099140,93140
HUM,2010,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5334200,1099140,93140
HUM,2010,0,0,0,0,1,0,0,0,1,0,1,0,0,1,5334200,1099140,93140
HUM,2010,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5334200,1099140,93140
HUM,2010,0,0,0,0,1,0,0,0,1,0,1,1,0,1,5334200,1099140,93140
HUM,2010,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5334200,1099140,93140
HUM,2014,0,0,0,0,0,1,0,0,1,0,0,1,1,1,8305132,1839880,386253
HUM,2014,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8305132,1839880,386253
HUM,2014,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8305132,1839880,386253
HUM,2014,0,0,0,0,0,1,0,0,1,0,0,1,1,1,8305132,1839880,386253
HUM,2014,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8305132,1839880,386253
HUM,2014,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8305132,1839880,386253
HUM,2015,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8305132,1839880,386253
HUM,2015,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
HUM,2015,0,0,0,0,0,1,0,0,1,0,0,1,1,1,6822600,1656120,262520
HUM,2015,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6822600,1656120,262520
HUM,2015,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6822600,1656120,262520
IBM,2007,0,0,0,0,0,1,0,0,1,0,0,1,0,1,59400000,39500000,10200000
IBM,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,59400000,39500000,10200000
IBM,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,59400000,39500000,10200000
IBM,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
IBM,2007,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59400000,39500000,10200000
INTC,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,0,59400000,39500000,10200000
INTC,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,1,19581000,3318000,2360000
INTC,2012,0,0,1,0,0,0,0,0,1,0,0,1,0,1,19581000,3318000,2360000
INTC,2012,0,0,1,0,0,0,0,0,1,0,1,0,0,0,19581000,3318000,2360000
INTC,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19581000,3318000,2360000
INTU,2015,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13100000,876000,370000
INTU,2015,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4189000,142000,51000
